"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250211014551_InitialCreate02112025.Designer.cs", "C#", 620, 0, 0, 2, 241, 863
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250211014551_InitialCreate02112025.cs", "C#", 509, 0, 0, 3, 56, 568
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250222073609_SecondBitches.Designer.cs", "C#", 620, 0, 0, 2, 242, 864
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250222073609_SecondBitches.cs", "C#", 188, 0, 0, 3, 36, 227
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250222143022_UpdateMdodels.Designer.cs", "C#", 620, 0, 0, 2, 242, 864
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250222143022_UpdateMdodels.cs", "C#", 45, 0, 0, 3, 6, 54
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\DataContextModelSnapshot.cs", "C#", 618, 0, 0, 1, 242, 861
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Attendance.cs", "C#", 29, 0, 0, 3, 5, 37
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\AttendanceCertification.cs", "C#", 17, 0, 0, 0, 1, 18
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AboutEmployeeDTO.cs", "C#", 13, 0, 0, 0, 5, 18
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AttendanceCertificationDTO.cs", "C#", 24, 0, 0, 0, 4, 28
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AttendanceDTO.cs", "C#", 26, 0, 0, 0, 3, 29
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AuthDTOs\LoginDTO.cs", "C#", 8, 0, 0, 0, 2, 10
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AuthDTOs\UserAccountDTO.cs", "C#", 15, 0, 0, 0, 1, 16
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\DepartmentDTO.cs", "C#", 18, 0, 0, 0, 3, 21
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\EducationalBackgroundDTO.cs", "C#", 14, 0, 0, 0, 1, 15
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\EmployeeDTO.cs", "C#", 34, 0, 0, 0, 6, 40
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\GenericDTOs\DateRangeDTO.cs", "C#", 6, 0, 0, 0, 1, 7
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\GenericDTOs\UserSettingsDTO.cs", "C#", 28, 0, 0, 1, 12, 41
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\LeaveApplicationDTO.cs", "C#", 34, 0, 0, 0, 6, 40
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\NotificationDTO.cs", "C#", 32, 0, 0, 0, 6, 38
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\OTApplicationDTO.cs", "C#", 40, 0, 0, 0, 4, 44
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\ShiftDTO.cs", "C#", 10, 0, 0, 0, 2, 12
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\SupervisorDTO.cs", "C#", 13, 0, 0, 0, 2, 15
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Department.cs", "C#", 12, 0, 0, 0, 1, 13
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Employee\AboutEmployee.cs", "C#", 33, 0, 0, 0, 1, 34
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Employee\Employee.cs", "C#", 44, 0, 0, 2, 5, 51
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Employee\Supervisor.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\EnumData.cs", "C#", 25, 0, 0, 0, 5, 30
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\LeaveBalance.cs", "C#", 21, 0, 0, 0, 8, 29
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Leaves.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Notifications.cs", "C#", 15, 0, 0, 0, 3, 18
