"filename", "language", "JSON", "XML", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\Models\UserAccount.cs", "C#", 0, 0, 7, 0, 0, 1, 8
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\Services\ArchiveBackgroundService.cs", "C#", 0, 0, 17, 0, 2, 5, 24
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\Services\AuthenticationService.cs", "C#", 0, 0, 0, 0, 85, 1, 86
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\Services\NotificationServices.cs", "C#", 0, 0, 47, 0, 1, 8, 56
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\Authorization\SubscriptionAuthorizationHelper.cs", "C#", 0, 0, 21, 0, 3, 5, 29
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\Authorization\UserRolePolicyProvider.cs", "C#", 0, 0, 32, 0, 9, 12, 53
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\BodyRequestCorrection.cs", "C#", 0, 0, 17, 0, 0, 3, 20
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\ContractResolverConverter.cs", "C#", 0, 0, 15, 0, 2, 4, 21
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\Crypto\AES256Encrpytion.cs", "C#", 0, 0, 68, 0, 30, 9, 107
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\Crypto\Base64Encryption.cs", "C#", 0, 0, 15, 0, 6, 5, 26
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\DateOnlyConverter.cs", "C#", 0, 0, 14, 0, 0, 3, 17
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\Generator.cs", "C#", 0, 0, 46, 0, 7, 12, 65
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\MappingProfile.cs", "C#", 0, 0, 111, 0, 0, 30, 141
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\PageList.cs", "C#", 0, 0, 53, 0, 7, 10, 70
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Helper\Validator.cs", "C#", 0, 0, 40, 0, 0, 9, 49
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Repositories\IGenericRepository.cs", "C#", 0, 0, 11, 0, 0, 2, 13
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IAboutEmployeeServices.cs", "C#", 0, 0, 10, 0, 0, 3, 13
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IAttendanceCertificationServices.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IAttendanceServices.cs", "C#", 0, 0, 18, 0, 0, 2, 20
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IAuthService.cs", "C#", 0, 0, 23, 0, 0, 2, 25
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IDepartmentServices.cs", "C#", 0, 0, 18, 0, 0, 2, 20
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IEmployeeServices.cs", "C#", 0, 0, 19, 0, 0, 2, 21
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\ILeaveApplicationServices.cs", "C#", 0, 0, 12, 0, 0, 2, 14
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\ILeaveBalanceServices.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\INotificationServices.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IOTApplicationServices.cs", "C#", 0, 0, 15, 0, 0, 2, 17
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IOrganizationServices.cs", "C#", 0, 0, 17, 0, 0, 2, 19
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IPaymentService.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IPayrollServices.cs", "C#", 0, 0, 12, 0, 1, 2, 15
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IPlanService.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IShiftServices.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\ISubscriptionServices.cs", "C#", 0, 0, 15, 0, 0, 2, 17
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\ISupervisorServices.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IUserAccountServices.cs", "C#", 0, 0, 22, 0, 0, 2, 24
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IUserNotificationServices.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\Clients\IUserSettingsServices.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\ExternalServices\IEmailServices.cs", "C#", 0, 0, 12, 0, 0, 1, 13
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\IMessageHub.cs", "C#", 0, 0, 13, 0, 0, 1, 14
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\IMessageHubClient.cs", "C#", 0, 0, 11, 0, 9, 1, 21
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\INotificationHub.cs", "C#", 0, 0, 9, 0, 1, 3, 13
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\INotificationHubClient.cs", "C#", 0, 0, 9, 0, 0, 3, 12
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Middlewares\ApiKeyMiddleware.cs", "C#", 0, 0, 55, 0, 0, 12, 67
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Middlewares\AuthorizeMiddleware.cs", "C#", 0, 0, 30, 0, 2, 8, 40
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Middlewares\RefreshTokenMiddleware.cs", "C#", 0, 0, 58, 0, 0, 13, 71
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Middlewares\SubscriptionMiddleware.cs", "C#", 0, 0, 23, 0, 0, 4, 27
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Middlewares\TenantMiddleware.cs", "C#", 0, 0, 45, 0, 5, 10, 60
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429023535_Initial-Create.Designer.cs", "C#", 0, 0, 1063, 0, 2, 430, 1495
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429023535_Initial-Create.cs", "C#", 0, 0, 899, 0, 3, 94, 996
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429024745_RelaceTenantWithOrgId.Designer.cs", "C#", 0, 0, 1055, 0, 2, 425, 1482
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429024745_RelaceTenantWithOrgId.cs", "C#", 0, 0, 110, 0, 3, 24, 137
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429053522_update-schema.Designer.cs", "C#", 0, 0, 1053, 0, 2, 424, 1479
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429053522_update-schema.cs", "C#", 0, 0, 151, 0, 3, 32, 186
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429063606_updateContext.Designer.cs", "C#", 0, 0, 1053, 0, 2, 424, 1479
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250429063606_updateContext.cs", "C#", 0, 0, 14, 0, 3, 6, 23
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506023537_MakeEmployeeUserNullable.Designer.cs", "C#", 0, 0, 1051, 0, 2, 424, 1477
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506023537_MakeEmployeeUserNullable.cs", "C#", 0, 0, 49, 0, 3, 8, 60
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506033205_RenameOrgToEmpDept.Designer.cs", "C#", 0, 0, 1051, 0, 2, 424, 1477
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506033205_RenameOrgToEmpDept.cs", "C#", 0, 0, 14, 0, 3, 6, 23
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506080315_UpdatePlanSchemas.Designer.cs", "C#", 0, 0, 1146, 0, 2, 459, 1607
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506080315_UpdatePlanSchemas.cs", "C#", 0, 0, 275, 0, 3, 46, 324
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506081659_AddPlanFeatures.Designer.cs", "C#", 0, 0, 1146, 0, 2, 459, 1607
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506081659_AddPlanFeatures.cs", "C#", 0, 0, 62, 0, 3, 14, 79
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506083043_ChangeSchemas.Designer.cs", "C#", 0, 0, 1149, 0, 2, 461, 1612
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250506083043_ChangeSchemas.cs", "C#", 0, 0, 58, 0, 3, 10, 71
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250507062844_UpdateEmpDepartment.Designer.cs", "C#", 0, 0, 1149, 0, 2, 462, 1613
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250507062844_UpdateEmpDepartment.cs", "C#", 0, 0, 55, 0, 3, 12, 70
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250507071204_UpdateREadEmp.Designer.cs", "C#", 0, 0, 1142, 0, 2, 458, 1602
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\20250507071204_UpdateREadEmp.cs", "C#", 0, 0, 38, 0, 3, 8, 49
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Migrations\DataContextModelSnapshot.cs", "C#", 0, 0, 1140, 0, 1, 458, 1599
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Attendance.cs", "C#", 0, 0, 30, 0, 3, 3, 36
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\AttendanceCertification.cs", "C#", 0, 0, 20, 0, 0, 3, 23
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AboutEmployeeDTO.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AttendanceCertificationDTO.cs", "C#", 0, 0, 24, 0, 0, 4, 28
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AttendanceDTO.cs", "C#", 0, 0, 26, 0, 0, 3, 29
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AuthDTOs\GenerateEmployeeDTO.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\AuthDTOs\UserAccountDTO.cs", "C#", 0, 0, 18, 0, 0, 1, 19
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\CreateOrganizationDTO.cs", "C#", 0, 0, 12, 0, 0, 1, 13
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\DepartmentDTO.cs", "C#", 0, 0, 17, 0, 0, 3, 20
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\EducationalBackgroundDTO.cs", "C#", 0, 0, 14, 0, 0, 1, 15
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\EmployeeDTO.cs", "C#", 0, 0, 34, 0, 0, 5, 39
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\GenericDTOs\UserSettingsDTO.cs", "C#", 0, 0, 28, 0, 1, 12, 41
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\GetStartedDTO.cs", "C#", 0, 0, 15, 0, 2, 1, 18
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\LeaveApplicationDTO.cs", "C#", 0, 0, 34, 0, 0, 5, 39
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\NotificationDTO.cs", "C#", 0, 0, 36, 0, 0, 7, 43
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\OrganizationsDTO.cs", "C#", 0, 0, 9, 0, 0, 1, 10
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\OtApplicationDTO.cs", "C#", 0, 0, 40, 0, 0, 5, 45
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\ShiftDTO.cs", "C#", 0, 0, 15, 0, 0, 3, 18
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\SubscriptionDtos.cs", "C#", 0, 0, 66, 0, 0, 8, 74
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\DTOs\SupervisorDTO.cs", "C#", 0, 0, 12, 0, 0, 2, 14
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Department.cs", "C#", 0, 0, 15, 0, 0, 3, 18
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\EmployeeDepartment.cs", "C#", 0, 0, 24, 0, 0, 5, 29
